#Position (bp)	insert size
1.702814901E9	20.142857142857142
1.711060978E9	19.8
1.719307055E9	20.0
1.727553132E9	20.333333333333332
1.735799209E9	19.88888888888889
1.744045286E9	19.857142857142858
1.752291363E9	20.0
1.76053744E9	19.875
1.768783517E9	19.875
1.777029594E9	20.333333333333332
1.785275671E9	20.8
1.793521748E9	19.5
1.801767825E9	20.166666666666668
1.8081907555E9	20.0
1.812313794E9	20.066666666666666
1.818259979E9	19.5
1.826506056E9	20.0
1.834752133E9	20.25
1.84299821E9	19.5
1.851244287E9	23.0
1.859490364E9	21.125
1.867736441E9	19.666666666666668
1.875982518E9	20.225806451612904
1.884228595E9	19.88235294117647
1.892474672E9	20.125
1.900720749E9	20.428571428571427
1.908966826E9	19.571428571428573
1.917212903E9	19.5
1.92545898E9	20.77777777777778
1.933705057E9	20.454545454545453
1.9417026825E9	19.666666666666668
1.945825721E9	0.0
1.950197211E9	20.0
1.958443288E9	20.166666666666668
1.966689365E9	21.2
1.974935442E9	19.6
1.983181519E9	19.75
1.991427596E9	19.5
1.999673673E9	19.875
2.00791975E9	20.8
2.016165827E9	19.5
2.024411904E9	19.333333333333332
2.032657981E9	20.666666666666668
2.040904058E9	20.90909090909091
2.049150135E9	20.4
2.057396212E9	20.266666666666666
2.065642289E9	20.08695652173913
2.073888366E9	19.533333333333335
2.0784319915E9	20.0
2.08255503E9	0.0
2.09038052E9	19.0
2.098626597E9	19.5
2.106872674E9	21.09090909090909
2.115118751E9	20.0
2.123364828E9	21.0
2.131610905E9	19.833333333333332
2.139856982E9	20.25
2.148103059E9	20.75
2.156349136E9	20.5
2.164595213E9	19.833333333333332
2.17284129E9	20.142857142857142
2.181087367E9	20.0
2.189213656E9	20.384615384615383
2.1933366945E9	0.0
2.197579521E9	0.0
2.205825598E9	0.0
2.214071675E9	20.0
2.222317752E9	20.0
2.230563829E9	19.2
2.238809906E9	19.666666666666668
2.247055983E9	20.125
2.25530206E9	20.75
2.263548137E9	20.272727272727273
2.271794214E9	20.22222222222222
2.280040291E9	20.22222222222222
2.288286368E9	20.25
2.2963350155E9	20.055555555555557
2.300361479E9	0.0
2.3005589085E9	0.0
2.300664495E9	0.0
2.3007705315E9	0.0
2.300963291E9	0.0
2.301078083E9	0.0
2.301116918E9	0.0
2.3012231005E9	20.0
2.301331375E9	0.0
2.3051274025E9	0.0
2.313024599E9	0.0
2.321270676E9	0.0
2.329516753E9	20.0
2.33776283E9	20.444444444444443
2.346008907E9	21.0
2.354254984E9	20.125
2.362501061E9	19.77777777777778
2.370747138E9	19.466666666666665
2.378993215E9	20.545454545454547
2.387239292E9	20.0
2.395485369E9	20.6
2.4014764205E9	19.5
2.4035685575E9	0.0
2.405823583E9	19.791666666666668
2.411977523E9	20.785714285714285
2.4202236E9	19.333333333333332
2.428469677E9	20.23076923076923
2.436715754E9	19.8
2.444961831E9	0.0
2.453207908E9	20.333333333333332
2.461453985E9	20.0
2.469700062E9	20.5
2.477946139E9	20.666666666666668
2.486192216E9	20.77777777777778
2.4922231405E9	19.833333333333332
2.495067406E9	0.0
2.4972825585E9	19.0
2.50268437E9	20.428571428571427
2.510930447E9	19.625
2.519176524E9	21.25
2.527422601E9	20.6
2.535668678E9	20.1
2.543914755E9	19.88888888888889
2.552160832E9	20.0
2.560406909E9	19.666666666666668
2.568652986E9	19.833333333333332
2.5760186255E9	20.16
2.579354022E9	0.0
2.579587237E9	0.0
2.579783932E9	0.0
2.5804311545E9	19.0
2.58514514E9	20.0
2.593391217E9	20.5
2.601637294E9	19.0
2.609883371E9	20.857142857142858
2.618129448E9	20.0
2.626375525E9	20.23076923076923
2.634621602E9	20.416666666666668
2.642867679E9	20.0
2.651113756E9	20.0
2.6577251435E9	20.75
2.661848182E9	20.46153846153846
2.66760591E9	19.806451612903224
